Taal;Classificatie;Tabel;Class-tekstcodenotatie;Class-codenotatie;tekst_NL-SfB;fullname_nl;shortname_nl
nl-NL;NL/SfB;Tabel 1;(58.21);58.21;"regeling klimaat en sanitair; centrale melding, meting en sturing, specifieke regeling";"(58.21) regeling klimaat en sanitair; centrale melding, meting en sturing, specifieke regeling";NL/SfB - Tabel 1 - (58.21)
nl-NL;NL/SfB;Tabel 1;(58.22);58.22;"regeling klimaat en sanitair; centrale melding, meting en sturing, gecombineerde regeling";"(58.22) regeling klimaat en sanitair; centrale melding, meting en sturing, gecombineerde regeling";NL/SfB - Tabel 1 - (58.22)
nl-NL;NL/SfB;Tabel 1;(59);59;-gereserveerd-;(59) -gereserveerd-;NL/SfB - Tabel 1 - (59)
nl-NL;NL/SfB;Tabel 1;(6-);6-;INSTALLATIES ELEKTROTECHNISCH;(6-) INSTALLATIES ELEKTROTECHNISCH;NL/SfB - Tabel 1 - (6-)
nl-NL;NL/SfB;Tabel 1;(60);60;-gereserveerd-;(60) -gereserveerd-;NL/SfB - Tabel 1 - (60)
nl-NL;NL/SfB;Tabel 1;(61);61;Centrale elektrotechnische voorzieningen;(61) Centrale elektrotechnische voorzieningen;NL/SfB - Tabel 1 - (61)
nl-NL;NL/SfB;Tabel 1;(61.0);61.0;"centrale elektrotechnische voorzieningen; algemeen";"(61.0) centrale elektrotechnische voorzieningen; algemeen";NL/SfB - Tabel 1 - (61.0)
nl-NL;NL/SfB;Tabel 1;(61.1);61.1;"centrale elektrotechnische voorzieningen; energie, noodstroom";"(61.1) centrale elektrotechnische voorzieningen; energie, noodstroom";NL/SfB - Tabel 1 - (61.1)
nl-NL;NL/SfB;Tabel 1;(61.10);61.10;"centrale elektrotechnische voorz.; energie, noodstroom, algemeen (verzamelniveau)";"(61.10) centrale elektrotechnische voorz.; energie, noodstroom, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (61.10)
nl-NL;NL/SfB;Tabel 1;(61.11);61.11;"centrale elektrotechnische voorz.; energie, noodstroom, eigen energieopwekking";"(61.11) centrale elektrotechnische voorz.; energie, noodstroom, eigen energieopwekking";NL/SfB - Tabel 1 - (61.11)
nl-NL;NL/SfB;Tabel 1;(61.2);61.2;"centrale elektrotechnische voorzieningen; aarding";"(61.2) centrale elektrotechnische voorzieningen; aarding";NL/SfB - Tabel 1 - (61.2)
nl-NL;NL/SfB;Tabel 1;(61.20);61.20;"centrale elektrotechnische voorz.; aarding, algemeen (verzamelniveau)";"(61.20) centrale elektrotechnische voorz.; aarding, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (61.20)
nl-NL;NL/SfB;Tabel 1;(61.21);61.21;"centrale elektrotechnische voorz.; aarding, veiligheidsaarding";"(61.21) centrale elektrotechnische voorz.; aarding, veiligheidsaarding";NL/SfB - Tabel 1 - (61.21)
nl-NL;NL/SfB;Tabel 1;(61.22);61.22;"centrale elektrotechnische voorz.; aarding, medische aarding";"(61.22) centrale elektrotechnische voorz.; aarding, medische aarding";NL/SfB - Tabel 1 - (61.22)
nl-NL;NL/SfB;Tabel 1;(61.23);61.23;"centrale elektrotechnische voorz.; aarding, speciale aarding";"(61.23) centrale elektrotechnische voorz.; aarding, speciale aarding";NL/SfB - Tabel 1 - (61.23)
nl-NL;NL/SfB;Tabel 1;(61.24);61.24;"centrale elektrotechnische voorz.; aarding, statische elektriciteit";"(61.24) centrale elektrotechnische voorz.; aarding, statische elektriciteit";NL/SfB - Tabel 1 - (61.24)
nl-NL;NL/SfB;Tabel 1;(61.25);61.25;"centrale elektrotechnische voorz.; aarding, bliksemafleiding";"(61.25) centrale elektrotechnische voorz.; aarding, bliksemafleiding";NL/SfB - Tabel 1 - (61.25)
nl-NL;NL/SfB;Tabel 1;(61.26);61.26;"centrale elektrotechnische voorz.; aarding, potentiaalvereffening";"(61.26) centrale elektrotechnische voorz.; aarding, potentiaalvereffening";NL/SfB - Tabel 1 - (61.26)
nl-NL;NL/SfB;Tabel 1;(61.3);61.3;"centrale elektrotechnische voorzieningen; kanalisatie";"(61.3) centrale elektrotechnische voorzieningen; kanalisatie";NL/SfB - Tabel 1 - (61.3)
nl-NL;NL/SfB;Tabel 1;(61.30);61.30;"centrale elektrotechnische voorz.; kanalisatie, algemeen (verzamelniveau)";"(61.30) centrale elektrotechnische voorz.; kanalisatie, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (61.30)
nl-NL;NL/SfB;Tabel 1;(61.31);61.31;"centrale elektrotechnische voorz.; kanalisatie, t.b.v. installaties voor hoge spanning";"(61.31) centrale elektrotechnische voorz.; kanalisatie, t.b.v. installaties voor hoge spanning";NL/SfB - Tabel 1 - (61.31)
nl-NL;NL/SfB;Tabel 1;(61.32);61.32;"centrale elektrotechnische voorz.; kanalisatie, t.b.v. installaties voor lage spanning";"(61.32) centrale elektrotechnische voorz.; kanalisatie, t.b.v. installaties voor lage spanning";NL/SfB - Tabel 1 - (61.32)
nl-NL;NL/SfB;Tabel 1;(61.33);61.33;"centrale elektrotechnische voorz.; kanalisatie, t.b.v. installaties voor communicatie of beveiliging";"(61.33) centrale elektr. voorz.; kanalisatie, t.b.v. inst. v. communicatie of beveil.";NL/SfB - Tabel 1 - (61.33)
nl-NL;NL/SfB;Tabel 1;(61.4);61.4;"centrale elektrotechnische voorzieningen; energie, hoogspanning";"(61.4) centrale elektrotechnische voorzieningen; energie, hoogspanning";NL/SfB - Tabel 1 - (61.4)
nl-NL;NL/SfB;Tabel 1;(61.40);61.40;"centrale elektrotechnische voorz.; energie, hoogspanning, algemeen";"(61.40) centrale elektrotechnische voorz.; energie, hoogspanning, algemeen";NL/SfB - Tabel 1 - (61.40)
nl-NL;NL/SfB;Tabel 1;(61.41);61.41;"centrale elektrotechnische voorz.; energie, hoogspanning, 1 kV en hoger";"(61.41) centrale elektrotechnische voorz.; energie, hoogspanning, 1 kv en hoger";NL/SfB - Tabel 1 - (61.41)
nl-NL;NL/SfB;Tabel 1;(61.5);61.5;"centrale elektrotechnische voorzieningen; energie, laagspanning";"(61.5) centrale elektrotechnische voorzieningen; energie, laagspanning";NL/SfB - Tabel 1 - (61.5)
nl-NL;NL/SfB;Tabel 1;(61.50);61.50;"centrale elektrotechnische voorz.; energie, laagspanning, algemeen";"(61.50) centrale elektrotechnische voorz.; energie, laagspanning, algemeen";NL/SfB - Tabel 1 - (61.50)
nl-NL;NL/SfB;Tabel 1;(61.51);61.51;"centrale elektrotechnische voorz.; energie, laagspanning, lager dan 1 Kv en hoger dan 100 V";"(61.51) centrale elektrotechnische voorz.; energie, laagspanning, 1 kv  <> 100 v";NL/SfB - Tabel 1 - (61.51)
nl-NL;NL/SfB;Tabel 1;(61.6);61.6;"centrale elektrotechnische voorzieningen; energie, zeer lage spanning";"(61.6) centrale elektrotechnische voorzieningen; energie, zeer lage spanning";NL/SfB - Tabel 1 - (61.6)
nl-NL;NL/SfB;Tabel 1;(61.60);61.60;"centrale elektrotechnische voorz.; energie, zeer lage spanning, algemeen";"(61.60) centrale elektrotechnische voorz.; energie, zeer lage spanning, algemeen";NL/SfB - Tabel 1 - (61.60)
nl-NL;NL/SfB;Tabel 1;(61.61);61.61;"centrale elektrotechnische voorz.; energie, zeer lage spanning, lager dan 100 V";"(61.61) centrale elektrotechnische voorz.; energie, zeer lage spanning, < 100 v";NL/SfB - Tabel 1 - (61.61)
nl-NL;NL/SfB;Tabel 1;(61.7);61.7;"centrale elektrotechnische voorzieningen; bliksemafleiding";"(61.7) centrale elektrotechnische voorzieningen; bliksemafleiding";NL/SfB - Tabel 1 - (61.7)
nl-NL;NL/SfB;Tabel 1;(61.70);61.70;"centrale elektrotechnische voorz.; bliksemafleiding, algemeen";"(61.70) centrale elektrotechnische voorz.; bliksemafleiding, algemeen";NL/SfB - Tabel 1 - (61.70)
nl-NL;NL/SfB;Tabel 1;(61.71);61.71;"centrale elektrotechnische voorz.; bliksemafleiding";"(61.71) centrale elektrotechnische voorz.; bliksemafleiding";NL/SfB - Tabel 1 - (61.71)
nl-NL;NL/SfB;Tabel 1;(62);62;Krachtstroom;(62) Krachtstroom;NL/SfB - Tabel 1 - (62)
nl-NL;NL/SfB;Tabel 1;(62.0);62.0;"krachtstroom; algemeen";"(62.0) krachtstroom; algemeen";NL/SfB - Tabel 1 - (62.0)
nl-NL;NL/SfB;Tabel 1;(62.1);62.1;"krachtstroom; hoogspanning";"(62.1) krachtstroom; hoogspanning";NL/SfB - Tabel 1 - (62.1)
nl-NL;NL/SfB;Tabel 1;(62.10);62.10;"krachtstroom; hoogspanning, algemeen (verzamelniveau)";"(62.10) krachtstroom; hoogspanning, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (62.10)
nl-NL;NL/SfB;Tabel 1;(62.11);62.11;"krachtstroom; hoogspanning, 1 t/m 3 kV";"(62.11) krachtstroom; hoogspanning, 1 t/m 3 kv";NL/SfB - Tabel 1 - (62.11)
nl-NL;NL/SfB;Tabel 1;(62.12);62.12;"krachtstroom; hoogspanning, boven 3 kV";"(62.12) krachtstroom; hoogspanning, boven 3 kv";NL/SfB - Tabel 1 - (62.12)
nl-NL;NL/SfB;Tabel 1;(62.2);62.2;"krachtstroom; laagspanning, onbewaakt";"(62.2) krachtstroom; laagspanning, onbewaakt";NL/SfB - Tabel 1 - (62.2)
nl-NL;NL/SfB;Tabel 1;(62.20);62.20;"krachtstroom; laagspanning, onbewaakt, algemeen (verzamelniveau)";"(62.20) krachtstroom; laagspanning, onbewaakt, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (62.20)
nl-NL;NL/SfB;Tabel 1;(62.21);62.21;"krachtstroom; laagspanning, onbewaakt, 220/230 V - 380 V";"(62.21) krachtstroom; laagspanning, onbewaakt, 220/230 v - 380 v";NL/SfB - Tabel 1 - (62.21)
nl-NL;NL/SfB;Tabel 1;(62.22);62.22;"krachtstroom; laagspanning, onbewaakt, 380 V - 660 V";"(62.22) krachtstroom; laagspanning, onbewaakt, 380 v - 660 v";NL/SfB - Tabel 1 - (62.22)
nl-NL;NL/SfB;Tabel 1;(62.23);62.23;"krachtstroom; laagspanning, onbewaakt, 660 V - 1 kV";"(62.23) krachtstroom; laagspanning, onbewaakt, 660 v - 1 kv";NL/SfB - Tabel 1 - (62.23)
nl-NL;NL/SfB;Tabel 1;(62.3);62.3;"krachtstroom; laagspanning, bewaakt";"(62.3) krachtstroom; laagspanning, bewaakt";NL/SfB - Tabel 1 - (62.3)
nl-NL;NL/SfB;Tabel 1;(62.30);62.30;"krachtstroom; laagspanning, bewaakt, algemeen (verzamelniveau)";"(62.30) krachtstroom; laagspanning, bewaakt, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (62.30)
nl-NL;NL/SfB;Tabel 1;(62.31);62.31;"krachtstroom; laagspanning, bewaakt, 220/230 V - 380 V";"(62.31) krachtstroom; laagspanning, bewaakt, 220/230 v - 380 v";NL/SfB - Tabel 1 - (62.31)
nl-NL;NL/SfB;Tabel 1;(62.32);62.32;"krachtstroom; laagspanning, bewaakt, 380 V - 660 V";"(62.32) krachtstroom; laagspanning, bewaakt, 380 v - 660 v";NL/SfB - Tabel 1 - (62.32)
nl-NL;NL/SfB;Tabel 1;(62.33);62.33;"krachtstroom; laagspanning, bewaakt, 660 V - 1 kV";"(62.33) krachtstroom; laagspanning, bewaakt, 660 v - 1 kv";NL/SfB - Tabel 1 - (62.33)
nl-NL;NL/SfB;Tabel 1;(62.4);62.4;"krachtstroom; laagspanning, gestabiliseerd";"(62.4) krachtstroom; laagspanning, gestabiliseerd";NL/SfB - Tabel 1 - (62.4)
nl-NL;NL/SfB;Tabel 1;(62.40);62.40;"krachtstroom; laagspanning, gestabiliseerd, algemeen (verzamelniveau)";"(62.40) krachtstroom; laagspanning, gestabiliseerd, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (62.40)
nl-NL;NL/SfB;Tabel 1;(62.41);62.41;"krachtstroom; laagspanning, gestabiliseerd, 220/230 V - 380 V";"(62.41) krachtstroom; laagspanning, gestabiliseerd, 220/230 v - 380 v";NL/SfB - Tabel 1 - (62.41)
nl-NL;NL/SfB;Tabel 1;(62.42);62.42;"krachtstroom; laagspanning, gestabiliseerd, 380 V - 660 V";"(62.42) krachtstroom; laagspanning, gestabiliseerd, 380 v - 660 v";NL/SfB - Tabel 1 - (62.42)
nl-NL;NL/SfB;Tabel 1;(62.43);62.43;"krachtstroom; laagspanning, gestabiliseerd, 660 V - 1 Kv";"(62.43) krachtstroom; laagspanning, gestabiliseerd, 660 v - 1 kv";NL/SfB - Tabel 1 - (62.43)
nl-NL;NL/SfB;Tabel 1;(62.5);62.5;"krachtstroom; laagspanning, gecompenseerd";"(62.5) krachtstroom; laagspanning, gecompenseerd";NL/SfB - Tabel 1 - (62.5)
nl-NL;NL/SfB;Tabel 1;(62.50);62.50;"krachtstroom; laagspanning, gecompenseerd, algemeen (verzamelniveau)";"(62.50) krachtstroom; laagspanning, gecompenseerd, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (62.50)
nl-NL;NL/SfB;Tabel 1;(62.51);62.51;"krachtstroom; laagspanning, gecompenseerd, 220/230 V - 380 V";"(62.51) krachtstroom; laagspanning, gecompenseerd, 220/230 v - 380 v";NL/SfB - Tabel 1 - (62.51)
nl-NL;NL/SfB;Tabel 1;(62.52);62.52;"krachtstroom; laagspanning, gecompenseerd, 380 V - 660 V";"(62.52) krachtstroom; laagspanning, gecompenseerd, 380 v - 660 v";NL/SfB - Tabel 1 - (62.52)
nl-NL;NL/SfB;Tabel 1;(62.53);62.53;"krachtstroom; laagspanning, gecompenseerd, 660 V - 1 kV";"(62.53) krachtstroom; laagspanning, gecompenseerd, 660 v - 1 kv";NL/SfB - Tabel 1 - (62.53)
nl-NL;NL/SfB;Tabel 1;(63);63;Verlichting;(63) Verlichting;NL/SfB - Tabel 1 - (63)
nl-NL;NL/SfB;Tabel 1;(63.0);63.0;"verlichting; algemeen";"(63.0) verlichting; algemeen";NL/SfB - Tabel 1 - (63.0)
nl-NL;NL/SfB;Tabel 1;(63.1);63.1;"verlichting; standaard, onbewaakt";"(63.1) verlichting; standaard, onbewaakt";NL/SfB - Tabel 1 - (63.1)
nl-NL;NL/SfB;Tabel 1;(63.10);63.10;"verlichting; standaard, onbewaakt, algemeen (verzamelniveau)";"(63.10) verlichting; standaard, onbewaakt, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (63.10)
nl-NL;NL/SfB;Tabel 1;(63.11);63.11;"verlichting; standaard, onbewaakt, 220/230 V";"(63.11) verlichting; standaard, onbewaakt, 220/230 v";NL/SfB - Tabel 1 - (63.11)
nl-NL;NL/SfB;Tabel 1;(63.12);63.12;"verlichting; standaard, onbewaakt, 115 V";"(63.12) verlichting; standaard, onbewaakt, 115 v";NL/SfB - Tabel 1 - (63.12)
nl-NL;NL/SfB;Tabel 1;(63.13);63.13;"verlichting; standaard, onbewaakt, 42 V";"(63.13) verlichting; standaard, onbewaakt, 42 v";NL/SfB - Tabel 1 - (63.13)
nl-NL;NL/SfB;Tabel 1;(63.14);63.14;"verlichting; standaard, onbewaakt, 24 V";"(63.14) verlichting; standaard, onbewaakt, 24 v";NL/SfB - Tabel 1 - (63.14)
nl-NL;NL/SfB;Tabel 1;(63.2);63.2;"verlichting; calamiteiten, decentraal";"(63.2) verlichting; calamiteiten, decentraal";NL/SfB - Tabel 1 - (63.2)
nl-NL;NL/SfB;Tabel 1;(63.20);63.20;"verlichting; calamiteiten, decentraal gevoed, algemeen (verzamelniveau)";"(63.20) verlichting; calamiteiten, decentraal gevoed, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (63.20)
nl-NL;NL/SfB;Tabel 1;(63.23);63.23;"verlichting; calamiteiten, decentraal gevoed, 42 V";"(63.23) verlichting; calamiteiten, decentraal gevoed, 42 v";NL/SfB - Tabel 1 - (63.23)
nl-NL;NL/SfB;Tabel 1;(63.24);63.24;"verlichting; calamiteiten, decentraal gevoed, 24 V";"(63.24) verlichting; calamiteiten, decentraal gevoed, 24 v";NL/SfB - Tabel 1 - (63.24)
nl-NL;NL/SfB;Tabel 1;(63.3);63.3;"verlichting; bijzonder, onbewaakt";"(63.3) verlichting; bijzonder, onbewaakt";NL/SfB - Tabel 1 - (63.3)
nl-NL;NL/SfB;Tabel 1;(63.30);63.30;"verlichting; bijzonder, onbewaakt, algemeen (verzamelniveau)";"(63.30) verlichting; bijzonder, onbewaakt, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (63.30)
nl-NL;NL/SfB;Tabel 1;(63.31);63.31;"verlichting; bijzonder, onbewaakt, 220/230 V";"(63.31) verlichting; bijzonder, onbewaakt, 220/230 v";NL/SfB - Tabel 1 - (63.31)
nl-NL;NL/SfB;Tabel 1;(63.32);63.32;"verlichting; bijzonder, onbewaakt, 115 V";"(63.32) verlichting; bijzonder, onbewaakt, 115 v";NL/SfB - Tabel 1 - (63.32)
nl-NL;NL/SfB;Tabel 1;(63.33);63.33;"verlichting; bijzonder, onbewaakt, 42 V";"(63.33) verlichting; bijzonder, onbewaakt, 42 v";NL/SfB - Tabel 1 - (63.33)
nl-NL;NL/SfB;Tabel 1;(63.34);63.34;"verlichting; bijzonder, onbewaakt, 24 V";"(63.34) verlichting; bijzonder, onbewaakt, 24 v";NL/SfB - Tabel 1 - (63.34)
nl-NL;NL/SfB;Tabel 1;(63.4);63.4;"verlichting; standaard, bewaakt";"(63.4) verlichting; standaard, bewaakt";NL/SfB - Tabel 1 - (63.4)
nl-NL;NL/SfB;Tabel 1;(63.40);63.40;"verlichting; standaard, bewaakt, algemeen (verzamelniveau)";"(63.40) verlichting; standaard, bewaakt, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (63.40)
nl-NL;NL/SfB;Tabel 1;(63.41);63.41;"verlichting; standaard, bewaakt, 220/230 V";"(63.41) verlichting; standaard, bewaakt, 220/230 v";NL/SfB - Tabel 1 - (63.41)
nl-NL;NL/SfB;Tabel 1;(63.42);63.42;"verlichting; standaard, bewaakt, 115 V";"(63.42) verlichting; standaard, bewaakt, 115 v";NL/SfB - Tabel 1 - (63.42)
nl-NL;NL/SfB;Tabel 1;(63.43);63.43;"verlichting; standaard, bewaakt, 42 V";"(63.43) verlichting; standaard, bewaakt, 42 v";NL/SfB - Tabel 1 - (63.43)
nl-NL;NL/SfB;Tabel 1;(63.44);63.44;"verlichting; standaard, bewaakt, 24 V";"(63.44) verlichting; standaard, bewaakt, 24 v";NL/SfB - Tabel 1 - (63.44)
nl-NL;NL/SfB;Tabel 1;(63.5);63.5;"verlichting; calamiteiten, centraal";"(63.5) verlichting; calamiteiten, centraal";NL/SfB - Tabel 1 - (63.5)
nl-NL;NL/SfB;Tabel 1;(63.50);63.50;"verlichting; calamiteiten, centraal gevoed, algemeen (verzamelniveau)";"(63.50) verlichting; calamiteiten, centraal gevoed, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (63.50)
nl-NL;NL/SfB;Tabel 1;(63.51);63.51;"verlichting; calamiteiten, centraal gevoed, 220/230 V";"(63.51) verlichting; calamiteiten, centraal gevoed, 220/230 v";NL/SfB - Tabel 1 - (63.51)
nl-NL;NL/SfB;Tabel 1;(63.52);63.52;"verlichting; calamiteiten, centraal gevoed, 115 V";"(63.52) verlichting; calamiteiten, centraal gevoed, 115 v";NL/SfB - Tabel 1 - (63.52)
nl-NL;NL/SfB;Tabel 1;(63.53);63.53;"verlichting; calamiteiten, centraal gevoed, 42 V";"(63.53) verlichting; calamiteiten, centraal gevoed, 42 v";NL/SfB - Tabel 1 - (63.53)
nl-NL;NL/SfB;Tabel 1;(63.54);63.54;"verlichting; calamiteiten, centraal gevoed, 24 V";"(63.54) verlichting; calamiteiten, centraal gevoed, 24 v";NL/SfB - Tabel 1 - (63.54)
nl-NL;NL/SfB;Tabel 1;(63.6);63.6;"verlichting; bijzonder, bewaakt";"(63.6) verlichting; bijzonder, bewaakt";NL/SfB - Tabel 1 - (63.6)
nl-NL;NL/SfB;Tabel 1;(63.60);63.60;"verlichting; bijzonder, bewaakt, algemeen (verzamelniveau)";"(63.60) verlichting; bijzonder, bewaakt, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (63.60)
nl-NL;NL/SfB;Tabel 1;(63.61);63.61;"verlichting; bijzonder, bewaakt, 220/230 V";"(63.61) verlichting; bijzonder, bewaakt, 220/230 v";NL/SfB - Tabel 1 - (63.61)
nl-NL;NL/SfB;Tabel 1;(63.62);63.62;"verlichting; bijzonder, bewaakt, 115 V";"(63.62) verlichting; bijzonder, bewaakt, 115 v";NL/SfB - Tabel 1 - (63.62)
nl-NL;NL/SfB;Tabel 1;(63.63);63.63;"verlichting; bijzonder, bewaakt, 42 V";"(63.63) verlichting; bijzonder, bewaakt, 42 v";NL/SfB - Tabel 1 - (63.63)
nl-NL;NL/SfB;Tabel 1;(63.64);63.64;"verlichting; bijzonder, bewaakt, 24 V";"(63.64) verlichting; bijzonder, bewaakt, 24 v";NL/SfB - Tabel 1 - (63.64)
nl-NL;NL/SfB;Tabel 1;(63.7);63.7;"verlichting; bijzonder, reclame";"(63.7) verlichting; bijzonder, reclame";NL/SfB - Tabel 1 - (63.7)
nl-NL;NL/SfB;Tabel 1;(63.70);63.70;"verlichting; bijzonder, reclame, algemeen (verzamelniveau)";"(63.70) verlichting; bijzonder, reclame, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (63.70)
nl-NL;NL/SfB;Tabel 1;(63.71);63.71;"verlichting; bijzonder, reclame, 220/230 V";"(63.71) verlichting; bijzonder, reclame, 220/230 v";NL/SfB - Tabel 1 - (63.71)
nl-NL;NL/SfB;Tabel 1;(63.72);63.72;"verlichting; bijzonder, reclame, 115 V";"(63.72) verlichting; bijzonder, reclame, 115 v";NL/SfB - Tabel 1 - (63.72)
nl-NL;NL/SfB;Tabel 1;(63.73);63.73;"verlichting; bijzonder, reclame, 42 V";"(63.73) verlichting; bijzonder, reclame, 42 v";NL/SfB - Tabel 1 - (63.73)
nl-NL;NL/SfB;Tabel 1;(63.74);63.74;"verlichting; bijzonder, reclame, 24 V";"(63.74) verlichting; bijzonder, reclame, 24 v";NL/SfB - Tabel 1 - (63.74)
nl-NL;NL/SfB;Tabel 1;(63.75);63.75;"verlichting; bijzonder, reclame, 1 kV en hoger";"(63.75) verlichting; bijzonder, reclame, 1 kv en hoger";NL/SfB - Tabel 1 - (63.75)
nl-NL;NL/SfB;Tabel 1;(64);64;Communicatie;(64) Communicatie;NL/SfB - Tabel 1 - (64)
nl-NL;NL/SfB;Tabel 1;(64.0);64.0;"communicatie; algemeen";"(64.0) communicatie; algemeen";NL/SfB - Tabel 1 - (64.0)
nl-NL;NL/SfB;Tabel 1;(64.1);64.1;"communicatie; signalen";"(64.1) communicatie; signalen";NL/SfB - Tabel 1 - (64.1)
nl-NL;NL/SfB;Tabel 1;(64.10);64.10;"communicatie; overdracht van signalen, algemeen (verzamelniveau)";"(64.10) communicatie; overdracht van signalen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (64.10)
nl-NL;NL/SfB;Tabel 1;(64.11);64.11;"communicatie; overdracht van signalen, algemene signaleringen";"(64.11) communicatie; overdracht van signalen, algemene signaleringen";NL/SfB - Tabel 1 - (64.11)
nl-NL;NL/SfB;Tabel 1;(64.12);64.12;"communicatie; overdracht van signalen, algemene personenoproep";"(64.12) communicatie; overdracht van signalen, algemene personenoproep";NL/SfB - Tabel 1 - (64.12)
nl-NL;NL/SfB;Tabel 1;(64.13);64.13;"communicatie; overdracht van signalen, tijdsignalering";"(64.13) communicatie; overdracht van signalen, tijdsignalering";NL/SfB - Tabel 1 - (64.13)
nl-NL;NL/SfB;Tabel 1;(64.14);64.14;"communicatie; overdracht van signalen, aanwezigheid-/beletsignalering";"(64.14) communicatie; overdracht van signalen, aanwezigheid-/beletsignalering";NL/SfB - Tabel 1 - (64.14)
nl-NL;NL/SfB;Tabel 1;(64.2);64.2;"communicatie; geluiden";"(64.2) communicatie; geluiden";NL/SfB - Tabel 1 - (64.2)
nl-NL;NL/SfB;Tabel 1;(64.20);64.20;"communicatie; overdracht van geluid/spraak, algemeen (verzamelniveau)";"(64.20) communicatie; overdracht van geluid/spraak, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (64.20)
nl-NL;NL/SfB;Tabel 1;(64.21);64.21;"communicatie; overdracht van geluid/spraak, telefoon";"(64.21) communicatie; overdracht van geluid/spraak, telefoon";NL/SfB - Tabel 1 - (64.21)
nl-NL;NL/SfB;Tabel 1;(64.22);64.22;"communicatie; overdracht van geluid/spraak, intercom";"(64.22) communicatie; overdracht van geluid/spraak, intercom";NL/SfB - Tabel 1 - (64.22)
nl-NL;NL/SfB;Tabel 1;(64.23);64.23;"communicatie; overdracht van geluid/spraak, radio/mobilofoon";"(64.23) communicatie; overdracht van geluid/spraak, radio/mobilofoon";NL/SfB - Tabel 1 - (64.23)
nl-NL;NL/SfB;Tabel 1;(64.24);64.24;"communicatie; overdracht van geluid/spraak, geluidsdistributie";"(64.24) communicatie; overdracht van geluid/spraak, geluidsdistributie";NL/SfB - Tabel 1 - (64.24)
nl-NL;NL/SfB;Tabel 1;(64.25);64.25;"communicatie; overdracht van geluid/spraak, vertaalsystemen";"(64.25) communicatie; overdracht van geluid/spraak, vertaalsystemen";NL/SfB - Tabel 1 - (64.25)
nl-NL;NL/SfB;Tabel 1;(64.26);64.26;"communicatie; overdracht van geluid/spraak, conferentiesystemen";"(64.26) communicatie; overdracht van geluid/spraak, conferentiesystemen";NL/SfB - Tabel 1 - (64.26)
nl-NL;NL/SfB;Tabel 1;(64.3);64.3;"communicatie; beelden";"(64.3) communicatie; beelden";NL/SfB - Tabel 1 - (64.3)
nl-NL;NL/SfB;Tabel 1;(64.30);64.30;"communicatie; overdracht van beelden, algemeen (verzamelniveau)";"(64.30) communicatie; overdracht van beelden, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (64.30)
nl-NL;NL/SfB;Tabel 1;(64.31);64.31;"communicatie; overdracht van beelden, gesloten televisiecircuits";"(64.31) communicatie; overdracht van beelden, gesloten televisiecircuits";NL/SfB - Tabel 1 - (64.31)
nl-NL;NL/SfB;Tabel 1;(64.32);64.32;"communicatie; overdracht van beelden, beeldreproductie";"(64.32) communicatie; overdracht van beelden, beeldreproductie";NL/SfB - Tabel 1 - (64.32)
nl-NL;NL/SfB;Tabel 1;(64.33);64.33;"communicatie; overdracht van beelden, film/dia/overhead";"(64.33) communicatie; overdracht van beelden, film/dia/overhead";NL/SfB - Tabel 1 - (64.33)
nl-NL;NL/SfB;Tabel 1;(64.4);64.4;"communicatie; data";"(64.4) communicatie; data";NL/SfB - Tabel 1 - (64.4)
nl-NL;NL/SfB;Tabel 1;(64.40);64.40;"communicatie; overdracht van data, algemeen (verzamelniveau)";"(64.40) communicatie; overdracht van data, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (64.40)
nl-NL;NL/SfB;Tabel 1;(64.41);64.41;"communicatie; overdracht van data, gesloten datanet";"(64.41) communicatie; overdracht van data, gesloten datanet";NL/SfB - Tabel 1 - (64.41)
nl-NL;NL/SfB;Tabel 1;(64.42);64.42;"communicatie; overdracht van data, openbaar datanet";"(64.42) communicatie; overdracht van data, openbaar datanet";NL/SfB - Tabel 1 - (64.42)
nl-NL;NL/SfB;Tabel 1;(64.5);64.5;"communicatie; geïntegreerde systemen";"(64.5) communicatie; geïntegreerde systemen";NL/SfB - Tabel 1 - (64.5)
nl-NL;NL/SfB;Tabel 1;(64.50);64.50;"communicatie; geïntegreerde systemen, algemeen (verzamelniveau)";"(64.50) communicatie; geïntegreerde systemen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (64.50)
